"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","80.47","78.59","80.57","77.72","","2.37%"
"12/29/2022","78.61","78.61","78.83","76.81","","0.01%"
"12/28/2022","78.60","79.75","79.88","77.33","","-1.47%"
"12/27/2022","79.77","80.97","81.17","79.17","","-1.48%"
"12/26/2022","80.97","79.92","81.06","79.92","","2.05%"
"12/23/2022","79.34","78.44","80.31","78.00","","1.13%"
"12/22/2022","78.45","78.47","79.88","77.03","","0.27%"
"12/21/2022","78.24","76.00","78.56","75.81","","2.64%"
"12/20/2022","76.23","75.77","76.96","74.46","","0.45%"
"12/19/2022","75.89","75.54","76.59","74.04","","1.93%"
"12/16/2022","74.45","76.24","76.57","73.33","","-2.36%"
"12/15/2022","76.25","77.26","77.76","75.38","","-1.32%"
"12/14/2022","77.27","75.19","77.74","74.91","","2.77%"
"12/13/2022","75.19","73.42","76.36","73.22","","2.38%"
"12/12/2022","73.44","71.89","73.98","70.25","","2.14%"
"12/11/2022","71.90","71.78","72.31","71.65","","0.56%"
"12/09/2022","71.50","72.07","72.92","70.11","","-0.78%"
"12/08/2022","72.06","72.57","75.39","71.14","","-0.72%"
"12/07/2022","72.58","74.47","75.36","71.75","","-2.54%"
"12/06/2022","74.47","77.41","77.88","73.43","","-3.79%"
"12/05/2022","77.40","81.13","82.71","76.78","","-4.62%"
"12/04/2022","81.15","80.06","81.29","79.89","","1.06%"
"12/02/2022","80.30","81.32","82.19","79.68","","-1.27%"
"12/01/2022","81.33","80.56","83.33","79.94","","0.96%"
"11/30/2022","80.56","78.75","81.34","78.41","","3.02%"
"11/29/2022","78.20","76.54","79.65","76.29","381.87K","1.24%"
"11/28/2022","77.24","75.93","77.84","73.60","405.03K","1.26%"
"11/25/2022","76.28","77.51","79.90","76.22","266.45K","-2.14%"
"11/24/2022","77.95","77.53","78.19","76.92","","0.01%"
"11/23/2022","77.94","81.08","81.95","76.83","379.15K","-3.72%"
"11/22/2022","80.95","80.22","82.36","79.85","269.62K","1.53%"
"11/21/2022","79.73","80.30","80.30","75.08","21.98K","-0.44%"
"11/18/2022","80.08","82.09","82.64","77.24","96.58K","-1.91%"
"11/17/2022","81.64","85.22","85.45","81.40","138.48K","-4.62%"
"11/16/2022","85.59","86.89","87.51","84.20","225.67K","-1.53%"
"11/15/2022","86.92","85.25","88.68","84.06","331.71K","1.22%"
"11/14/2022","85.87","89.02","89.84","85.15","315.45K","-3.47%"
"11/11/2022","88.96","86.27","90.10","86.18","301.66K","2.88%"
"11/10/2022","86.47","85.85","87.35","84.70","340.01K","0.75%"
"11/09/2022","85.83","88.57","89.24","85.50","388.30K","-3.46%"
"11/08/2022","88.91","91.87","92.17","88.52","344.22K","-3.14%"
"11/07/2022","91.79","91.00","93.74","90.40","322.42K","-0.89%"
"11/04/2022","92.61","87.90","92.87","87.82","354.06K","5.04%"
"11/03/2022","88.17","89.35","89.67","87.60","239.82K","-2.03%"
"11/02/2022","90.00","88.62","90.36","87.72","280.96K","1.84%"
"11/01/2022","88.37","86.43","89.45","85.92","274.32K","2.13%"
"10/31/2022","86.53","88.39","88.65","85.30","285.34K","-1.56%"
"10/28/2022","87.90","88.67","88.76","87.08","263.40K","-1.32%"
"10/27/2022","89.08","88.26","89.79","87.33","292.56K","1.33%"
"10/26/2022","87.91","85.07","88.41","84.14","287.18K","3.04%"
"10/25/2022","85.32","84.88","86.03","83.06","240.44K","0.87%"
"10/24/2022","84.58","85.24","85.92","82.63","250.73K","-0.55%"
"10/21/2022","85.05","85.07","85.90","83.15","272.80K","-1.08%"
"10/20/2022","85.98","85.94","88.17","85.22","18.18K","0.50%"
"10/19/2022","85.55","83.69","86.20","82.59","71.31K","3.30%"
"10/18/2022","82.82","85.70","86.51","82.09","97.30K","-3.09%"
"10/17/2022","85.46","85.59","87.12","84.61","172.02K","-0.18%"
"10/14/2022","85.61","89.27","89.73","85.20","237.03K","-3.93%"
"10/13/2022","89.11","87.08","89.66","85.56","298.03K","2.11%"
"10/12/2022","87.27","88.67","90.07","86.28","332.27K","-2.33%"
"10/11/2022","89.35","91.14","91.35","87.91","333.16K","-1.95%"
"10/10/2022","91.13","93.48","93.64","90.54","289.51K","-1.63%"
"10/07/2022","92.64","88.93","93.31","88.00","429.16K","4.74%"
"10/06/2022","88.45","88.08","89.07","87.04","235.30K","0.79%"
"10/05/2022","87.76","86.37","88.42","85.42","329.79K","1.43%"
"10/04/2022","86.52","83.22","86.98","83.22","302.55K","3.46%"
"10/03/2022","83.63","81.02","84.56","80.87","287.17K","5.21%"
"09/30/2022","79.49","81.74","82.56","79.14","253.15K","-2.14%"
"09/29/2022","81.23","81.90","82.94","80.34","286.13K","-1.12%"
"09/28/2022","82.15","78.08","82.34","76.55","324.68K","4.65%"
"09/27/2022","78.50","76.47","79.51","76.42","283.61K","2.33%"
"09/26/2022","76.71","79.23","80.31","76.25","280.93K","-2.58%"
"09/23/2022","78.74","83.54","83.92","78.04","334.27K","-5.69%"
"09/22/2022","83.49","83.07","86.00","82.40","303.49K","0.66%"
"09/21/2022","82.94","84.25","86.68","82.49","339.68K","-1.79%"
"09/20/2022","84.45","85.61","86.45","83.52","26.23K","-1.49%"
"09/19/2022","85.73","85.21","86.22","82.10","59.63K","0.73%"
"09/16/2022","85.11","85.16","86.59","84.27","87.83K","0.01%"
"09/15/2022","85.10","88.91","89.15","84.53","235.36K","-3.82%"
"09/14/2022","88.48","87.94","90.19","86.18","335.38K","1.34%"
"09/13/2022","87.31","88.09","89.31","85.06","348.00K","-0.54%"
"09/12/2022","87.78","86.25","89.10","85.16","275.10K","1.14%"
"09/09/2022","86.79","82.80","87.20","82.71","305.19K","3.89%"
"09/08/2022","83.54","81.91","84.25","81.20","342.76K","1.95%"
"09/07/2022","81.94","86.93","87.76","81.50","380.78K","-5.69%"
"09/06/2022","86.88","86.84","90.39","86.18","420.26K","-2.34%"
"09/05/2022","88.96","88.27","90.37","87.98","","0.80%"
"09/04/2022","88.25","86.91","88.28","86.91","","1.59%"
"09/02/2022","86.87","86.56","89.66","86.35","277.53K","0.30%"
"09/01/2022","86.61","88.83","89.63","85.98","305.11K","-3.28%"
"08/31/2022","89.55","92.31","92.73","88.27","344.15K","-2.28%"
"08/30/2022","91.64","96.90","97.66","90.54","386.27K","-5.54%"
"08/29/2022","97.01","92.96","97.37","92.29","283.46K","4.24%"
"08/26/2022","93.06","93.06","94.02","91.08","288.39K","0.58%"
"08/25/2022","92.52","95.35","95.76","92.29","279.88K","-2.50%"
"08/24/2022","94.89","93.78","95.40","92.79","320.39K","1.23%"
"08/23/2022","93.74","90.55","94.22","90.42","285.61K","3.89%"
"08/22/2022","90.23","89.65","91.26","86.60","24.87K","-0.59%"
"08/19/2022","90.77","90.39","92.09","88.38","58.71K","0.30%"
"08/18/2022","90.50","87.39","91.46","87.32","80.03K","2.71%"
"08/17/2022","88.11","87.10","89.16","85.88","230.35K","1.83%"
"08/16/2022","86.53","87.93","90.65","85.73","305.37K","-3.22%"
"08/15/2022","89.41","91.94","92.10","86.82","275.44K","-2.91%"
"08/12/2022","92.09","94.09","94.81","91.16","264.95K","-2.38%"
"08/11/2022","94.34","91.55","95.05","91.24","341.23K","2.62%"
"08/10/2022","91.93","90.51","92.43","87.66","383.77K","1.58%"
"08/09/2022","90.50","90.69","92.65","89.05","347.05K","-0.29%"
"08/08/2022","90.76","88.46","90.89","87.22","340.16K","1.97%"
"08/05/2022","89.01","88.06","90.76","87.01","350.02K","0.53%"
"08/04/2022","88.54","90.95","91.90","87.55","334.93K","-2.34%"
"08/03/2022","90.66","93.83","96.57","90.38","395.10K","-3.98%"
"08/02/2022","94.42","93.75","96.47","92.59","328.54K","0.56%"
"08/01/2022","93.89","98.46","98.65","92.42","365.29K","-4.80%"
"07/29/2022","98.62","97.30","101.88","96.41","349.37K","2.28%"
"07/28/2022","96.42","98.17","99.84","96.04","318.40K","-0.86%"
"07/27/2022","97.26","95.60","98.59","94.30","321.90K","2.40%"
"07/26/2022","94.98","96.33","99.00","94.76","310.04K","-1.78%"
"07/25/2022","96.70","95.10","96.94","93.01","279.00K","2.11%"
"07/22/2022","94.70","96.51","97.95","94.23","307.57K","-1.71%"
"07/21/2022","96.35","99.91","99.99","94.59","318.91K","-5.78%"
"07/20/2022","102.26","103.60","104.39","101.51","28.96K","-1.88%"
"07/19/2022","104.22","102.00","104.46","99.85","63.15K","1.58%"
"07/18/2022","102.60","97.27","102.80","95.85","84.67K","5.13%"
"07/15/2022","97.59","96.39","99.03","94.57","240.77K","1.89%"
"07/14/2022","95.78","96.57","97.00","90.56","387.53K","-0.54%"
"07/13/2022","96.30","95.89","97.96","93.67","347.19K","0.48%"
"07/12/2022","95.84","103.46","103.49","95.35","398.55K","-7.93%"
"07/11/2022","104.09","104.79","105.05","100.89","348.57K","-0.67%"
"07/08/2022","104.79","102.22","105.24","101.51","327.46K","2.01%"
"07/07/2022","102.73","98.22","104.48","96.57","379.86K","4.26%"
"07/06/2022","98.53","100.36","102.14","95.10","444.11K","-0.97%"
"07/05/2022","99.50","108.80","111.45","97.43","594.22K","-9.87%"
"07/04/2022","110.40","108.17","110.77","107.25","","2.04%"
"07/03/2022","108.19","108.67","108.81","108.14","","-0.22%"
"07/01/2022","108.43","106.01","109.34","104.56","305.34K","2.52%"
"06/30/2022","105.76","109.70","110.45","105.10","362.89K","-3.66%"
"06/29/2022","109.78","111.86","114.05","109.22","322.06K","-1.77%"
"06/28/2022","111.76","110.18","112.22","109.62","306.75K","2.00%"
"06/27/2022","109.57","107.22","110.54","105.60","282.91K","1.81%"
"06/24/2022","107.62","103.99","108.58","103.64","321.59K","3.21%"
"06/23/2022","104.27","104.42","107.05","102.32","346.36K","-1.81%"
"06/22/2022","106.19","109.54","109.76","101.53","432.72K","-4.03%"
"06/21/2022","110.65","110.58","112.47","108.72","28.46K","1.66%"
"06/20/2022","108.84","108.97","109.17","106.84","","-0.09%"
"06/19/2022","108.94","108.97","109.34","108.78","","-0.57%"
"06/17/2022","109.56","117.08","118.97","108.25","103.15K","-6.83%"
"06/16/2022","117.59","115.98","118.08","112.31","162.54K","1.98%"
"06/15/2022","115.31","119.07","119.61","114.60","301.75K","-3.04%"
"06/14/2022","118.93","121.09","123.68","116.62","366.32K","-1.65%"
"06/13/2022","120.93","120.19","122.25","117.47","372.40K","0.22%"
"06/10/2022","120.67","121.46","122.75","118.33","352.91K","-0.69%"
"06/09/2022","121.51","122.43","122.72","120.79","293.30K","-0.49%"
"06/08/2022","122.11","119.79","123.18","119.30","340.59K","2.26%"
"06/07/2022","119.41","119.10","120.36","117.14","341.69K","0.77%"
"06/06/2022","118.50","120.82","120.99","117.63","246.83K","-0.31%"
"06/03/2022","118.87","117.55","120.46","115.23","240.83K","1.71%"
"06/02/2022","116.87","114.80","117.77","111.20","327.60K","1.40%"
"06/01/2022","115.26","115.40","117.87","114.58","290.53K","0.51%"
"05/31/2022","114.67","114.96","119.98","114.15","440.80K","-2.50%"
"05/30/2022","117.61","115.58","117.79","115.39","","1.73%"
"05/29/2022","115.61","115.30","115.81","115.20","","0.47%"
"05/27/2022","115.07","114.20","115.30","112.85","217.28K","0.86%"
"05/26/2022","114.09","110.69","114.83","110.27","234.75K","3.41%"
"05/25/2022","110.33","110.39","111.68","109.23","191.37K","0.51%"
"05/24/2022","109.77","110.41","111.43","108.61","224.79K","-0.47%"
"05/23/2022","110.29","110.56","111.96","109.15","215.62K","-2.60%"
"05/20/2022","113.23","111.45","114.04","110.85","20.00K","0.91%"
"05/19/2022","112.21","109.09","112.62","105.13","68.51K","2.39%"
"05/18/2022","109.59","113.66","115.42","108.46","103.67K","-2.50%"
"05/17/2022","112.40","113.87","115.56","111.75","252.63K","-1.58%"
"05/16/2022","114.20","110.98","114.90","108.11","289.13K","3.36%"
"05/13/2022","110.49","106.65","110.64","106.29","240.99K","4.11%"
"05/12/2022","106.13","105.63","107.37","102.66","323.55K","0.40%"
"05/11/2022","105.71","99.00","106.44","98.20","382.70K","5.96%"
"05/10/2022","99.76","102.65","104.16","98.86","389.75K","-3.23%"
"05/09/2022","103.09","110.43","110.49","102.13","368.18K","-6.09%"
"05/06/2022","109.77","108.70","111.18","107.24","294.28K","1.39%"
"05/05/2022","108.26","107.58","111.37","106.45","286.92K","0.42%"
"05/04/2022","107.81","103.50","108.61","102.95","272.91K","5.27%"
"05/03/2022","102.41","105.08","105.80","102.10","239.27K","-2.62%"
"05/02/2022","105.17","104.00","105.94","100.28","261.88K","0.46%"
"04/29/2022","104.69","105.17","107.99","103.78","294.39K","-0.64%"
"04/28/2022","105.36","102.11","105.68","100.13","312.06K","3.27%"
"04/27/2022","102.02","101.76","102.99","99.80","278.78K","0.31%"
"04/26/2022","101.70","98.64","102.78","97.06","351.85K","3.21%"
"04/25/2022","98.54","101.38","101.55","95.28","328.15K","-3.46%"
