date,price,year
2016-09-21,1333.57,2016
2016-09-22,1337.32,2016
2016-09-23,1337.67,2016
2016-09-26,1337.47,2016
2016-09-27,1326.7,2016
2016-09-28,1323.68,2016
2016-09-29,1322.25,2016
2016-09-30,1315.79,2016
2016-10-03,1312.04,2016
2016-10-04,1268.57,2016
2016-10-05,1269.31,2016
2016-10-06,1255.73,2016
2016-10-07,1257.0,2016
2016-10-10,1258.67,2016
2016-10-11,1254.68,2016
2016-10-12,1254.16,2016
2016-10-13,1257.34,2016
2016-10-14,1250.84,2016
2016-10-17,1255.98,2016
2016-10-18,1263.39,2016
2016-10-19,1270.07,2016
2016-10-20,1265.3,2016
2016-10-21,1266.68,2016
2016-10-24,1263.6,2016
2016-10-25,1274.54,2016
2016-10-26,1266.8,2016
2016-10-27,1269.71,2016
2016-10-28,1276.3,2016
2016-10-31,1276.28,2016
2016-11-01,1287.96,2016
2016-11-02,1298.4,2016
2016-11-03,1302.21,2016
2016-11-04,1304.65,2016
2016-11-07,1282.77,2016
2016-11-08,1273.42,2016
2016-11-09,1276.19,2016
2016-11-10,1260.8,2016
2016-11-11,1227.6,2016
2016-11-14,1224.13,2016
2016-11-15,1226.81,2016
2016-11-16,1226.79,2016
2016-11-17,1214.56,2016
2016-11-18,1208.38,2016
2016-11-21,1216.53,2016
2016-11-22,1212.84,2016
2016-11-23,1189.64,2016
2016-11-24,1186.14,2016
2016-11-25,1184.09,2016
2016-11-28,1194.83,2016
2016-11-29,1188.88,2016
2016-11-30,1172.5,2016
2016-12-01,1173.37,2016
2016-12-02,1177.55,2016
2016-12-05,1170.18,2016
2016-12-06,1169.45,2016
2016-12-07,1175.18,2016
2016-12-08,1170.56,2016
2016-12-09,1160.17,2016
2016-12-12,1163.2,2016
2016-12-13,1158.52,2016
2016-12-14,1142.93,2016
2016-12-15,1127.87,2016
2016-12-16,1134.92,2016
2016-12-19,1138.66,2016
2016-12-20,1131.99,2016
2016-12-21,1131.05,2016
2016-12-22,1128.77,2016
2016-12-23,1133.8,2016
2016-12-26,1133.36,2016
2016-12-27,1139.36,2016
2016-12-28,1142.31,2016
2016-12-29,1160.37,2016
2016-12-30,1152.07,2016
2017-01-02,1150.27,2017
2017-01-03,1157.25,2017
2017-01-04,1165.95,2017
2017-01-05,1181.03,2017
2017-01-06,1172.41,2017
2017-01-09,1182.68,2017
2017-01-10,1186.23,2017
2017-01-11,1193.52,2017
2017-01-12,1196.25,2017
2017-01-13,1197.4,2017
2017-01-16,1203.39,2017
2017-01-17,1215.32,2017
2017-01-18,1202.85,2017
2017-01-19,1203.69,2017
2017-01-20,1209.02,2017
2017-01-23,1217.42,2017
2017-01-24,1209.01,2017
2017-01-25,1201.23,2017
2017-01-26,1188.35,2017
2017-01-27,1191.44,2017
2017-01-30,1196.93,2017
2017-01-31,1211.75,2017
2017-02-01,1209.87,2017
2017-02-02,1214.97,2017
2017-02-03,1220.24,2017
2017-02-06,1233.48,2017
2017-02-07,1232.13,2017
2017-02-08,1239.99,2017
2017-02-09,1227.16,2017
2017-02-10,1233.66,2017
2017-02-13,1226.16,2017
2017-02-14,1228.57,2017
2017-02-15,1233.24,2017
2017-02-16,1238.65,2017
2017-02-17,1234.97,2017
2017-02-20,1237.09,2017
2017-02-21,1235.04,2017
2017-02-22,1237.12,2017
2017-02-23,1249.35,2017
2017-02-24,1257.09,2017
2017-02-27,1253.36,2017
