,year,month,price,price_goes_up,delta_price,num,month_year
0,2011,9,750.6156,False,0.0,0,9-2011
1,2011,10,743.7429032258065,False,-6.872696774193514,1,10-2011
2,2011,11,638.2563333333333,False,-105.4865698924732,2,11-2011
3,2011,12,649.1267741935484,True,10.870440860215126,3,12-2011
4,2012,1,726.941935483871,True,77.81516129032264,4,1-2012
5,2012,2,757.1520689655173,True,30.210133481646267,5,2-2012
6,2012,3,817.8445161290323,True,60.692447163515,6,3-2012
7,2012,4,824.3836666666666,True,6.5391505376343275,7,4-2012
8,2012,5,846.5032258064516,True,22.119559139784997,8,5-2012
9,2012,6,858.264,True,11.7607741935484,9,6-2012
10,2012,7,882.6167741935484,True,24.352774193548385,10,7-2012
11,2012,8,899.7883870967742,True,17.171612903225764,11,8-2012
12,2012,9,868.5110000000001,False,-31.277387096774078,12,9-2012
13,2012,10,921.7987096774194,True,53.28770967741934,13,10-2012
14,2012,11,948.857,True,27.058290322580547,14,11-2012
15,2012,12,949.7900000000001,True,0.9330000000001064,15,12-2012
16,2013,1,1009.3761290322581,True,59.586129032257986,16,1-2013
17,2013,2,1010.3771428571429,True,1.001013824884808,17,2-2013
18,2013,3,959.9954838709677,False,-50.381658986175125,18,3-2013
19,2013,4,1005.1956666666666,True,45.20018279569888,19,4-2013
20,2013,5,988.9074193548388,False,-16.28824731182783,20,5-2013
21,2013,6,985.4623333333333,False,-3.4450860215055172,21,6-2013
22,2013,7,1024.7390322580645,True,39.27669892473125,22,7-2013
23,2013,8,1105.5706451612905,True,80.83161290322596,23,8-2013
24,2013,9,1121.2633333333333,True,15.692688172042836,24,9-2013
25,2013,10,1158.2070967741936,True,36.943763440860266,25,10-2013
26,2013,11,1316.4896666666668,True,158.28256989247325,26,11-2013
27,2013,12,1381.2696774193548,True,64.78001075268799,27,12-2013
28,2014,1,1469.773548387097,True,88.50387096774216,28,1-2014
29,2014,2,1564.0492857142856,True,94.27573732718861,29,2-2014
30,2014,3,1457.568064516129,False,-106.48122119815662,30,3-2014
31,2014,4,1531.3343333333332,True,73.76626881720426,31,4-2014
32,2014,5,1460.4290322580646,False,-70.90530107526865,32,5-2014
33,2014,6,1497.1889999999999,True,36.75996774193527,33,6-2014
34,2014,7,1639.1222580645162,True,141.9332580645164,34,7-2014
35,2014,8,1585.312258064516,False,-53.81000000000017,35,8-2014
36,2014,9,1589.6009999999999,True,4.288741935483813,36,9-2014
37,2014,10,1652.4984210526316,True,62.89742105263167,37,10-2014
