,price,delta_price,time,buy_price,buy_delta_price,buy_time,sell_price,sell_delta_price,sell_time
0,750.6156,0.0,9-2011,0.0,,,0.0,,
1,743.7429032258065,-6.872696774193514,10-2011,0.0,,,0.0,,
2,638.2563333333333,-105.4865698924732,11-2011,638.2563333333333,-105.4865698924732,11-2011,0.0,,
3,649.1267741935484,10.870440860215126,12-2011,0.0,,,0.0,,
4,726.941935483871,77.81516129032264,1-2012,0.0,,,0.0,,
5,757.1520689655173,30.210133481646267,2-2012,0.0,,,0.0,,
6,817.8445161290323,60.692447163515,3-2012,0.0,,,0.0,,
7,824.3836666666666,6.5391505376343275,4-2012,0.0,,,0.0,,
8,846.5032258064516,22.119559139784997,5-2012,0.0,,,0.0,,
9,858.264,11.7607741935484,6-2012,0.0,,,0.0,,
10,882.6167741935484,24.352774193548385,7-2012,0.0,,,0.0,,
11,899.7883870967742,17.171612903225764,8-2012,0.0,,,0.0,,
12,868.5110000000001,-31.277387096774078,9-2012,868.5110000000001,-31.277387096774078,9-2012,0.0,,
13,921.7987096774194,53.28770967741934,10-2012,0.0,,,0.0,,
14,948.857,27.058290322580547,11-2012,0.0,,,0.0,,
15,949.7900000000001,0.9330000000001064,12-2012,0.0,,,0.0,,
16,1009.3761290322581,59.586129032257986,1-2013,0.0,,,0.0,,
17,1010.3771428571429,1.001013824884808,2-2013,0.0,,,0.0,,
18,959.9954838709677,-50.381658986175125,3-2013,959.9954838709677,-50.381658986175125,3-2013,0.0,,
19,1005.1956666666666,45.20018279569888,4-2013,0.0,,,1005.1956666666666,45.20018279569888,4-2013
20,988.9074193548388,-16.28824731182783,5-2013,0.0,,,0.0,,
21,985.4623333333333,-3.4450860215055172,6-2013,0.0,,,0.0,,
22,1024.7390322580645,39.27669892473125,7-2013,0.0,,,0.0,,
23,1105.5706451612905,80.83161290322596,8-2013,0.0,,,0.0,,
24,1121.2633333333333,15.692688172042836,9-2013,0.0,,,0.0,,
25,1158.2070967741936,36.943763440860266,10-2013,0.0,,,0.0,,
26,1316.4896666666668,158.28256989247325,11-2013,0.0,,,0.0,,
27,1381.2696774193548,64.78001075268799,12-2013,0.0,,,0.0,,
28,1469.773548387097,88.50387096774216,1-2014,0.0,,,0.0,,
29,1564.0492857142856,94.27573732718861,2-2014,0.0,,,1564.0492857142856,94.27573732718861,2-2014
30,1457.568064516129,-106.48122119815662,3-2014,1457.568064516129,-106.48122119815662,3-2014,0.0,,
31,1531.3343333333332,73.76626881720426,4-2014,0.0,,,1531.3343333333332,73.76626881720426,4-2014
32,1460.4290322580646,-70.90530107526865,5-2014,1460.4290322580646,-70.90530107526865,5-2014,0.0,,
33,1497.1889999999999,36.75996774193527,6-2014,0.0,,,0.0,,
34,1639.1222580645162,141.9332580645164,7-2014,0.0,,,1639.1222580645162,141.9332580645164,7-2014
35,1585.312258064516,-53.81000000000017,8-2014,1585.312258064516,-53.81000000000017,8-2014,0.0,,
36,1589.6009999999999,4.288741935483813,9-2014,0.0,,,0.0,,
37,1652.4984210526316,62.89742105263167,10-2014,0.0,,,0.0,,
