"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2017","60.42","59.91","60.51","59.82","464.48K","0.97%"
"12/28/2017","59.84","59.53","59.94","59.44","345.96K","0.34%"
"12/27/2017","59.64","59.79","59.93","59.33","402.40K","-0.55%"
"12/26/2017","59.97","58.40","60.01","58.32","437.79K","2.36%"
"12/25/2017","58.59","58.41","58.62","58.38","","0.21%"
"12/22/2017","58.47","58.21","58.50","57.87","324.55K","0.19%"
"12/21/2017","58.36","58.02","58.38","57.63","405.32K","0.46%"
"12/20/2017","58.09","57.66","58.12","57.44","420.84K","1.10%"
"12/19/2017","57.46","57.30","57.64","57.16","36.29K","0.52%"
"12/18/2017","57.16","57.37","57.78","56.82","137.15K","-0.24%"
"12/15/2017","57.30","57.15","57.49","56.94","210.05K","0.46%"
"12/14/2017","57.04","56.70","57.22","56.09","580.57K","0.78%"
"12/13/2017","56.60","57.45","57.83","56.55","658.14K","-0.95%"
"12/12/2017","57.14","58.02","58.56","56.85","826.49K","-1.47%"
"12/11/2017","57.99","57.25","58.08","56.91","606.72K","1.10%"
"12/08/2017","57.36","56.65","57.79","56.54","681.60K","1.18%"
"12/07/2017","56.69","56.00","56.78","55.82","557.33K","1.30%"
"12/06/2017","55.96","57.45","57.57","55.87","678.99K","-2.88%"
"12/05/2017","57.62","57.48","57.92","57.08","499.25K","0.26%"
"12/04/2017","57.47","58.32","58.34","57.35","529.97K","-1.53%"
"12/01/2017","58.36","57.42","58.88","57.29","685.22K","1.67%"
"11/30/2017","57.40","57.41","57.98","56.82","735.13K","0.17%"
"11/29/2017","57.30","57.73","58.30","56.75","741.56K","-1.19%"
"11/28/2017","57.99","57.86","58.11","57.42","546.53K","-0.21%"
"11/27/2017","58.11","58.95","58.99","57.55","690.08K","-1.42%"
"11/24/2017","58.95","58.05","59.05","57.75","577.83K","0.98%"
"11/23/2017","58.38","57.97","58.58","57.76","","0.62%"
"11/22/2017","58.02","57.12","58.15","57.03","837.41K","2.09%"
"11/21/2017","56.83","56.38","57.22","56.32","619.07K","1.32%"
"11/20/2017","56.09","56.69","56.76","55.57","37.70K","-0.81%"
"11/17/2017","56.55","55.25","56.68","55.18","184.94K","2.56%"
"11/16/2017","55.14","55.30","55.62","54.93","213.92K","-0.34%"
"11/15/2017","55.33","55.06","55.56","54.88","501.39K","-0.66%"
"11/14/2017","55.70","56.72","56.77","54.81","707.34K","-1.87%"
"11/13/2017","56.76","56.90","57.15","56.30","631.62K","0.04%"
"11/10/2017","56.74","57.02","57.35","56.55","541.30K","-0.75%"
"11/09/2017","57.17","56.85","57.53","56.69","666.95K","0.63%"
"11/08/2017","56.81","56.96","57.92","56.41","919.15K","-0.68%"
"11/07/2017","57.20","57.27","57.69","56.83","750.19K","-0.26%"
"11/06/2017","57.35","55.97","57.61","55.66","861.71K","3.07%"
"11/03/2017","55.64","54.73","55.76","54.40","614.16K","2.02%"
"11/02/2017","54.54","54.28","54.84","53.99","482.85K","0.44%"
"11/01/2017","54.30","54.65","55.22","53.89","671.04K","-0.15%"
