date,price,year
1992-01-30,354.15,1992
1992-01-31,356.75,1992
1992-02-03,355.75,1992
1992-02-04,355.7,1992
1992-02-05,355.45,1992
1992-02-06,355.3,1992
1992-02-07,354.5,1992
1992-02-10,355.4,1992
1992-02-11,355.8,1992
1992-02-12,357.6,1992
1992-02-13,355.35,1992
1992-02-14,353.1,1992
1992-02-17,354.0,1992
1992-02-18,352.8,1992
1992-02-19,352.7,1992
1992-02-20,353.1,1992
1992-02-21,351.0,1992
1992-02-24,349.7,1992
1992-02-25,349.4,1992
1992-02-26,349.4,1992
1992-02-27,353.5,1992
1992-02-28,352.9,1992
1992-03-02,351.3,1992
1992-03-03,350.35,1992
1992-03-04,350.4,1992
1992-03-05,351.45,1992
1992-03-06,349.3,1992
1992-03-09,348.8,1992
1992-03-10,348.8,1992
1992-03-11,350.05,1992
1992-03-12,347.15,1992
1992-03-13,346.75,1992
1992-03-16,343.3,1992
1992-03-17,340.3,1992
1992-03-18,338.4,1992
1992-03-19,338.7,1992
1992-03-20,338.2,1992
1992-03-23,338.0,1992
1992-03-24,339.4,1992
1992-03-25,341.0,1992
1992-03-26,340.5,1992
1992-03-27,342.2,1992
1992-03-30,341.6,1992
1992-03-31,343.15,1992
1992-04-01,342.3,1992
1992-04-02,340.3,1992
1992-04-03,340.7,1992
1992-04-06,339.8,1992
1992-04-07,338.3,1992
1992-04-08,337.6,1992
1992-04-09,339.35,1992
1992-04-10,340.8,1992
1992-04-13,339.1,1992
1992-04-14,339.25,1992
1992-04-15,335.65,1992
1992-04-16,337.1,1992
1992-04-17,337.5,1992
1992-04-20,336.75,1992
1992-04-21,340.1,1992
1992-04-22,338.4,1992
1992-04-23,338.1,1992
1992-04-24,336.3,1992
1992-04-27,335.9,1992
1992-04-28,336.05,1992
1992-04-29,335.5,1992
1992-04-30,336.9,1992
1992-05-01,338.3,1992
1992-05-04,336.5,1992
1992-05-05,336.8,1992
1992-05-06,336.5,1992
1992-05-07,335.2,1992
1992-05-08,335.4,1992
1992-05-11,336.25,1992
1992-05-12,334.75,1992
1992-05-13,335.6,1992
1992-05-14,337.4,1992
1992-05-15,338.4,1992
1992-05-18,338.4,1992
1992-05-19,337.55,1992
1992-05-20,337.65,1992
1992-05-21,336.9,1992
1992-05-22,337.6,1992
1992-05-25,338.1,1992
1992-05-26,337.9,1992
1992-05-27,337.55,1992
1992-05-28,337.05,1992
1992-05-29,336.3,1992
1992-06-01,337.6,1992
1992-06-02,338.7,1992
1992-06-03,338.25,1992
1992-06-04,338.5,1992
1992-06-05,338.5,1992
1992-06-08,337.9,1992
1992-06-09,337.8,1992
1992-06-10,337.65,1992
