"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2017","1.3515","1.3444","1.3545","1.3428","","0.54%"
"12/28/2017","1.3443","1.3397","1.3458","1.3392","","0.34%"
"12/27/2017","1.3397","1.3375","1.3431","1.3368","","0.17%"
"12/26/2017","1.3374","1.3371","1.3391","1.3347","","0.04%"
"12/25/2017","1.3369","1.3357","1.3396","1.3355","","0.05%"
"12/22/2017","1.3362","1.3386","1.3399","1.3349","","-0.17%"
"12/21/2017","1.3385","1.3376","1.3389","1.3331","","0.07%"
"12/20/2017","1.3376","1.3386","1.3422","1.3372","","-0.07%"
"12/19/2017","1.3385","1.3382","1.3403","1.3332","","0.02%"
"12/18/2017","1.3382","1.3328","1.3420","1.3310","","0.46%"
"12/15/2017","1.3321","1.3431","1.3450","1.3302","","-0.83%"
"12/14/2017","1.3432","1.3418","1.3463","1.3390","","0.09%"
"12/13/2017","1.3420","1.3317","1.3422","1.3311","","0.77%"
"12/12/2017","1.3317","1.3339","1.3381","1.3304","","-0.16%"
"12/11/2017","1.3339","1.3392","1.3432","1.3331","","-0.40%"
"12/08/2017","1.3392","1.3477","1.3521","1.3355","","-0.61%"
"12/07/2017","1.3474","1.3391","1.3485","1.3319","","0.60%"
"12/06/2017","1.3394","1.3442","1.3449","1.3357","","-0.36%"
"12/05/2017","1.3443","1.3479","1.3483","1.3370","","-0.27%"
"12/04/2017","1.3479","1.3479","1.3539","1.3417","","0.04%"
"12/01/2017","1.3473","1.3525","1.3552","1.3445","","-0.39%"
"11/30/2017","1.3526","1.3410","1.3550","1.3405","","0.87%"
"11/29/2017","1.3409","1.3340","1.3450","1.3339","","0.53%"
"11/28/2017","1.3338","1.3312","1.3388","1.3221","","0.15%"
"11/27/2017","1.3318","1.3337","1.3384","1.3310","","-0.14%"
"11/24/2017","1.3337","1.3309","1.3361","1.3279","","0.20%"
"11/23/2017","1.3310","1.3325","1.3338","1.3284","","-0.12%"
"11/22/2017","1.3326","1.3239","1.3332","1.3214","","0.66%"
"11/21/2017","1.3239","1.3236","1.3270","1.3211","","0.03%"
"11/20/2017","1.3235","1.3217","1.3280","1.3184","","0.16%"
"11/17/2017","1.3214","1.3196","1.3261","1.3170","","0.14%"
"11/16/2017","1.3195","1.3171","1.3209","1.3135","","0.18%"
"11/15/2017","1.3171","1.3167","1.3216","1.3131","","0.05%"
"11/14/2017","1.3165","1.3116","1.3188","1.3075","","0.37%"
"11/13/2017","1.3116","1.3183","1.3198","1.3062","","-0.57%"
"11/10/2017","1.3191","1.3148","1.3232","1.3113","","0.30%"
"11/09/2017","1.3151","1.3115","1.3167","1.3086","","0.27%"
"11/08/2017","1.3116","1.3167","1.3178","1.3087","","-0.39%"
"11/07/2017","1.3167","1.3170","1.3179","1.3109","","-0.04%"
"11/06/2017","1.3172","1.3085","1.3177","1.3058","","0.73%"
"11/03/2017","1.3076","1.3059","1.3132","1.3039","","0.13%"
"11/02/2017","1.3059","1.3245","1.3300","1.3043","","-1.41%"
"11/01/2017","1.3246","1.3282","1.3321","1.3240","","-0.28%"
"10/31/2017","1.3283","1.3207","1.3289","1.3190","","0.57%"
"10/30/2017","1.3208","1.3112","1.3216","1.3105","","0.60%"
"10/27/2017","1.3129","1.3161","1.3164","1.3070","","-0.24%"
"10/26/2017","1.3160","1.3264","1.3281","1.3147","","-0.78%"
"10/25/2017","1.3264","1.3132","1.3272","1.3110","","0.97%"
"10/24/2017","1.3136","1.3199","1.3229","1.3112","","-0.46%"
"10/23/2017","1.3197","1.3187","1.3228","1.3156","","0.05%"
"10/20/2017","1.3190","1.3159","1.3202","1.3087","","0.24%"
"10/19/2017","1.3159","1.3206","1.3230","1.3132","","-0.35%"
"10/18/2017","1.3205","1.3191","1.3212","1.3140","","0.11%"
"10/17/2017","1.3191","1.3250","1.3289","1.3154","","-0.45%"
"10/16/2017","1.3250","1.3309","1.3313","1.3225","","-0.28%"
"10/13/2017","1.3287","1.3262","1.3338","1.3249","","0.19%"
"10/12/2017","1.3262","1.3224","1.3292","1.3121","","0.29%"
