,agnico_mines,coal_monthly,dowjones_transport,euro,gold_actual,gold_scaled,gold_predicted,oil,platinum,silver,southern_copper,date,buy_price,buy_date,sell_price,sell_time
0,0.1306157354618016,0.03541176470588234,0.12334531371125144,0.07428571428571445,670.8272000000001,0.02242496464718684,750.6156,0.10963120293492952,0.05909369676320275,0.03285308056872035,0.004810620851229978,9-2011,0.0,,0.0,
1,0.11608949130098946,0.04215686274509801,0.07083886465830028,0.18709677419354862,655.4074193548388,0.010174793328915147,743.7429032258065,0.17952151679549547,0.08045282189371877,0.033878611833053004,0.012035369248403467,10-2011,0.0,,0.0,
2,0.06415811478525278,0.03450980392156859,0.05110392084167007,0.1952380952380955,667.42,0.0197181308292419,638.2563333333333,0.14318723048207505,0.0333787620670074,0.013744075829383856,0.009202134582845235,11-2011,638.2563333333333,11-2011,0.0,
3,0.019802663037481162,0.0020240354206198536,0.13188635750155403,0.311520737327189,702.878064516129,0.04788762136432383,649.1267741935484,0.05114326467309048,0.025163488487113278,0.027274117107475897,0.009705130304442562,12-2011,0.0,,0.0,
4,0.04654798249163204,0.0026802656546489577,0.15415601296660192,0.45345622119815643,777.3232258064517,0.10703022530979518,726.941935483871,0.09548175323421512,0.05303071934934332,0.01802476685522087,0.011342595508306977,1-2012,0.0,,0.0,
5,0.0583198993433728,0.03560682893847193,0.19247773001052446,0.35566502463054167,802.7048275862069,0.12719451799911569,757.1520689655173,0.11328574947899676,0.06401339364389358,0.048308547148226806,0.017544332090104878,2-2012,0.0,,0.0,
6,0.11317449516312945,0.07541903858317511,0.2361347214796879,0.295852534562212,884.9075806451613,0.19250010379042634,817.8445161290323,0.08285320992345017,0.11882178381051825,0.07032563828160829,0.029140582685694843,3-2012,0.0,,0.0,
7,0.0716742683390346,0.10821078431372542,0.2748492749981872,0.44476190476190447,951.5306666666668,0.24542849728034916,824.3836666666666,0.09313895861491923,0.160420215786485,0.06170616113744073,0.07834179357021996,4-2012,0.0,,0.0,
8,0.04176168757126569,0.19295540796963936,0.302937609224209,0.5419354838709676,910.7262903225807,0.21301165476792716,846.5032258064516,0.12414901369675305,0.1730285211848107,0.09610151353004123,0.1690241966973586,5-2012,0.0,,0.0,
9,0.07039148612694794,0.3533823529411764,0.3294007972619781,0.7057142857142857,889.8603333333334,0.19643479458294272,858.264,0.1639022977408766,0.16184554230550827,0.1701421800947867,0.21756475335155537,6-2012,0.0,,0.0,
10,0.10690311545959469,0.4838472485768501,0.2869181409371223,0.6875576036866358,927.5674193548388,0.2263910095451314,882.6167741935484,0.19340824296632178,0.15212397647963954,0.21314783672221368,0.16425035583378467,7-2012,0.0,,0.0,
11,0.1141906058042447,0.7426865907653382,0.2926368168350354,0.5705069124423962,835.8109677419354,0.1534955334238488,899.7883870967742,0.22036263072333057,0.13149420234104525,0.28711206237578346,0.15545212933455932,8-2012,0.0,,0.0,
12,0.08387495248954771,0.8196078431372548,0.29622893858754107,0.5590476190476188,841.5813333333333,0.1580797728945877,868.5110000000001,0.2816856536010813,0.08243043725156163,0.14309636650868873,0.10063777170376155,9-2012,868.5110000000001,9-2012,0.0,
13,0.10556056203332477,0.9752055660974066,0.3549291481379018,0.6073732718894007,754.4654838709678,0.08887100105738097,921.7987096774194,0.26085494148203975,0.10794636478540422,0.15986852163277784,0.15969694297842324,10-2012,0.0,,0.0,
14,0.09266438616495631,0.9947467320261437,0.34546007000299256,0.5942857142857141,837.3264999999999,0.1546995408106519,948.857,0.3668919353800605,0.14124929017603638,0.2096366508688783,0.16604191071196145,11-2012,0.0,,0.0,
15,0.1060801118181484,0.8529965211891206,0.3996493854088861,0.6202764976958524,915.2409677419355,0.21659831874885638,949.7900000000001,0.43947330721461986,0.13828103533549488,0.20773582021097686,0.22148606265193785,12-2012,0.0,,0.0,
16,0.159170743369993,0.8108870967741935,0.4848390052085635,0.7889400921658986,918.125,0.21888952444508,1009.3761290322581,0.4850108066696149,0.14852997746881358,0.28460480048922177,0.20616946505271377,1-2013,0.0,,0.0,
17,0.11769017755334746,0.7613795518207281,0.5503239889011888,0.9418367346938775,903.7939285714285,0.20750427298046345,1010.3771428571429,0.35549126968802586,0.15055974689705526,0.252708192281652,0.2085611089418196,2-2013,0.0,,0.0,
18,0.08529812042520325,0.7343927893738139,0.5021225363056057,0.8341013824884793,947.8993548387097,0.2425436188877049,959.9954838709677,0.4243315124977421,0.15300324229268564,0.2250114661366763,0.20938141602952473,3-2013,959.9954838709677,3-2013,0.0,
19,0.1353002660585329,0.7191993464052288,0.5525254289394046,0.88,941.144,0.2371768593990816,1005.1956666666666,0.5497489862907897,0.15480976717773995,0.273996840442338,0.2867304438370428,4-2013,0.0,,1005.1956666666666,4-2013
20,0.10479273182035533,0.7340686274509801,0.48272719302641387,0.8036866359447004,977.7493548387097,0.26625780926856196,988.9074193548388,0.5227251493313568,0.1524207286915426,0.25525149059776786,0.2584297968283558,5-2013,0.0,,0.0,
21,0.058447358418852166,0.7300980392156862,0.49998156472110644,0.6352380952380952,1045.7266666666667,0.32026206100280175,985.4623333333333,0.5449121452017763,0.15698466780238504,0.27156398104265395,0.20395027983860467,6-2013,0.0,,0.0,
22,0.07541288115643509,0.7070524984187221,0.5249327963166738,0.5751152073732717,1143.532258064516,0.39796324742561306,1024.7390322580645,0.6612934368946553,0.1843270868824532,0.2536615196453141,0.2195525941227595,7-2013,0.0,,0.0,
