DATE,PCOALAUUSDM
2010-11-01,112.583766233766
2010-12-01,123.785714285714
2011-01-01,140.993571428571
2011-02-01,134.624464285714
2011-03-01,135.971273291925
2011-04-01,131.525595238095
2011-05-01,127.962857142857
2011-06-01,128.362012987013
2011-07-01,128.989285714286
2011-08-01,127.462012987013
2011-09-01,130.561850649351
2011-10-01,127.912755102041
2011-11-01,122.745292207792
2011-12-01,118.176428571428
2012-01-01,123.085714285714
2012-02-01,124.966836734694
2012-03-01,114.150974025974
2012-04-01,110.353759398496
2012-05-01,103.81948051948
2012-06-01,92.7546992481201
2012-07-01,91.3641233766233
2012-08-01,93.456331168831
2012-09-01,93.181607142857
2012-10-01,86.885403726708
2012-11-01,87.2196428571427
2012-12-01,96.0761278195487
2013-01-01,96.9521103896102
2013-02-01,100.347321428571
2013-03-01,97.3167857142855
2013-04-01,93.233163265306
2013-05-01,93.1260204081631
2013-06-01,89.6426785714284
2013-07-01,82.222360248447
2013-08-01,82.2214285714284
2013-09-01,83.2959183673468
2013-10-01,85.4436335403726
2013-11-01,88.3632653061223
2013-12-01,89.4444642857142
2014-01-01,87.9735389610388
2014-02-01,83.0276785714285
2014-03-01,79.7530612244897
2014-04-01,78.5207142857142
2014-05-01,78.8346428571427
2014-06-01,77.348469387755
2014-07-01,74.0380434782607
2014-08-01,74.2483928571428
2014-09-01,71.5256493506492
2014-10-01,68.9846273291924
2014-11-01,67.3307142857142
2014-12-01,67.1622448979591
2015-01-01,64.7163265306122
2015-02-01,70.659107142857
2015-03-01,68.3449675324675
2015-04-01,61.1978571428571
2015-05-01,65.6712406015037
2015-06-01,63.1047077922077
2015-07-01,64.4832298136645
2015-08-01,63.3932142857142
2015-09-01,61.7654220779219
2015-10-01,57.3306818181817
2015-11-01,55.7780612244897
2015-12-01,55.8658163265305
2016-01-01,53.4289285714285
2016-02-01,53.7816326530611
2016-03-01,55.4352040816325
2016-04-01,54.6586734693876
2016-05-01,54.5271428571427
2016-06-01,56.2285714285713
2016-07-01,64.4183673469387
2016-08-01,71.3269480519479
2016-09-01,76.3738636363635
2016-10-01,96.2397959183672
2016-11-01,111.428084415584
2016-12-01,93.1344642857141
2017-01-01,91.4244897959182
2017-02-01,85.9692857142856
2017-03-01,86.3338509316768
2017-04-01,90.1107142857141
2017-05-01,80.1183673469386
2017-06-01,85.6733766233764
2017-07-01,90.7739795918366
2017-08-01,102.772402597402
2017-09-01,104.775
2017-10-01,103.249675324675
2017-11-01,102.487012987013
2017-12-01,105.968796992481
