"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2010","4.405","4.325","4.454","4.306","65.87K","1.54%"
"12/30/2010","4.338","4.310","4.364","4.235","82.00K","1.19%"
"12/29/2010","4.287","4.291","4.310","4.216","72.63K","1.68%"
"12/28/2010","4.216","4.094","4.266","4.070","15.43K","2.53%"
"12/27/2010","4.112","4.031","4.120","3.992","73.31K","0.71%"
"12/23/2010","4.083","4.119","4.174","4.052","63.59K","-1.66%"
"12/22/2010","4.152","4.069","4.167","3.988","98.38K","2.29%"
"12/21/2010","4.059","4.245","4.245","4.056","93.93K","-4.20%"
"12/20/2010","4.237","4.052","4.250","4.013","112.66K","4.21%"
"12/17/2010","4.066","4.020","4.110","3.951","127.04K","0.44%"
"12/16/2010","4.048","4.242","4.242","4.010","162.40K","-4.12%"
"12/15/2010","4.222","4.255","4.278","4.193","139.39K","-0.78%"
"12/14/2010","4.255","4.431","4.439","4.250","140.65K","-3.73%"
"12/13/2010","4.420","4.444","4.547","4.323","177.03K","0.07%"
"12/10/2010","4.417","4.399","4.479","4.344","146.93K","-0.41%"
"12/09/2010","4.435","4.612","4.637","4.410","204.14K","-3.71%"
"12/08/2010","4.606","4.397","4.614","4.350","197.36K","4.85%"
"12/07/2010","4.393","4.500","4.545","4.383","155.15K","-2.12%"
"12/06/2010","4.488","4.385","4.540","4.328","151.48K","3.20%"
"12/03/2010","4.349","4.341","4.391","4.280","86.98K","0.14%"
"12/02/2010","4.343","4.310","4.377","4.197","135.78K","1.73%"
"12/01/2010","4.269","4.196","4.324","4.164","118.74K","2.13%"
"11/30/2010","4.180","4.219","4.254","4.126","98.17K","-0.71%"
"11/29/2010","4.210","4.398","4.487","4.166","135.32K","-4.30%"
"11/26/2010","4.399","4.388","4.482","4.352","38.36K","3.09%"
"11/24/2010","4.267","4.235","4.382","4.176","15.82K","0.07%"
"11/23/2010","4.264","4.262","4.290","4.115","92.46K","-0.16%"
"11/22/2010","4.271","4.162","4.293","4.125","103.53K","2.57%"
"11/19/2010","4.164","4.023","4.175","3.975","117.95K","3.92%"
"11/18/2010","4.007","4.027","4.058","3.853","154.99K","-0.57%"
"11/17/2010","4.030","3.834","4.037","3.796","139.23K","5.55%"
"11/16/2010","3.818","3.869","3.919","3.782","112.16K","-0.70%"
