"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2017","1.1998","1.1943","1.2030","1.1937","","0.46%"
"12/28/2017","1.1943","1.1888","1.1961","1.1888","","0.46%"
"12/27/2017","1.1888","1.1859","1.1912","1.1855","","0.24%"
"12/26/2017","1.1859","1.1867","1.1879","1.1845","","-0.08%"
"12/25/2017","1.1869","1.1850","1.1882","1.1842","","0.08%"
"12/22/2017","1.1859","1.1874","1.1878","1.1817","","-0.12%"
"12/21/2017","1.1873","1.1871","1.1889","1.1848","","0.02%"
"12/20/2017","1.1871","1.1840","1.1903","1.1829","","0.26%"
"12/19/2017","1.1840","1.1782","1.1851","1.1777","","0.49%"
"12/18/2017","1.1782","1.1753","1.1834","1.1737","","0.24%"
"12/15/2017","1.1754","1.1778","1.1814","1.1751","","-0.20%"
"12/14/2017","1.1778","1.1826","1.1863","1.1770","","-0.41%"
"12/13/2017","1.1826","1.1743","1.1832","1.1729","","0.72%"
"12/12/2017","1.1742","1.1770","1.1794","1.1718","","-0.22%"
"12/11/2017","1.1768","1.1768","1.1812","1.1761","","0.03%"
"12/08/2017","1.1764","1.1772","1.1778","1.1729","","-0.08%"
"12/07/2017","1.1773","1.1796","1.1816","1.1772","","-0.19%"
"12/06/2017","1.1796","1.1825","1.1849","1.1780","","-0.25%"
"12/05/2017","1.1826","1.1866","1.1879","1.1801","","-0.34%"
"12/04/2017","1.1866","1.1882","1.1890","1.1830","","-0.21%"
"12/01/2017","1.1891","1.1904","1.1942","1.1851","","-0.11%"
"11/30/2017","1.1904","1.1847","1.1933","1.1809","","0.47%"
"11/29/2017","1.1848","1.1841","1.1883","1.1816","","0.06%"
"11/28/2017","1.1841","1.1898","1.1921","1.1827","","-0.48%"
"11/27/2017","1.1898","1.1933","1.1962","1.1896","","-0.27%"
"11/24/2017","1.1930","1.1850","1.1944","1.1835","","0.66%"
"11/23/2017","1.1852","1.1822","1.1856","1.1812","","0.25%"
"11/22/2017","1.1822","1.1738","1.1829","1.1733","","0.72%"
"11/21/2017","1.1738","1.1732","1.1759","1.1713","","0.05%"
"11/20/2017","1.1732","1.1789","1.1808","1.1721","","-0.53%"
"11/17/2017","1.1795","1.1771","1.1823","1.1766","","0.21%"
"11/16/2017","1.1770","1.1792","1.1802","1.1756","","-0.19%"
"11/15/2017","1.1792","1.1797","1.1861","1.1784","","-0.05%"
"11/14/2017","1.1798","1.1667","1.1807","1.1660","","1.12%"
"11/13/2017","1.1667","1.1666","1.1677","1.1638","","0.02%"
"11/10/2017","1.1665","1.1642","1.1680","1.1623","","0.20%"
"11/09/2017","1.1642","1.1596","1.1657","1.1586","","0.41%"
"11/08/2017","1.1595","1.1587","1.1612","1.1578","","0.07%"
"11/07/2017","1.1587","1.1610","1.1618","1.1553","","-0.20%"
"11/06/2017","1.1610","1.1609","1.1625","1.1579","","0.01%"
"11/03/2017","1.1609","1.1660","1.1692","1.1599","","-0.42%"
"11/02/2017","1.1658","1.1619","1.1689","1.1613","","0.34%"
"11/01/2017","1.1619","1.1646","1.1659","1.1607","","-0.23%"
"10/31/2017","1.1646","1.1651","1.1663","1.1625","","-0.04%"
"10/30/2017","1.1651","1.1603","1.1660","1.1594","","0.35%"
"10/27/2017","1.1610","1.1650","1.1659","1.1575","","-0.34%"
"10/26/2017","1.1650","1.1812","1.1837","1.1639","","-1.38%"
"10/25/2017","1.1813","1.1760","1.1819","1.1752","","0.44%"
"10/24/2017","1.1761","1.1749","1.1794","1.1743","","0.10%"
