"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2010","1.3379","1.3290","1.3427","1.3283","","0.72%"
"12/30/2010","1.3283","1.3225","1.3316","1.3212","","0.45%"
"12/29/2010","1.3224","1.3116","1.3239","1.3082","","0.79%"
"12/28/2010","1.3120","1.3166","1.3277","1.3094","","-0.31%"
"12/27/2010","1.3161","1.3115","1.3171","1.3072","","0.33%"
"12/24/2010","1.3118","1.3117","1.3151","1.3095","","-0.02%"
"12/23/2010","1.3120","1.3096","1.3154","1.3054","","0.15%"
"12/22/2010","1.3100","1.3095","1.3182","1.3076","","0.03%"
"12/21/2010","1.3096","1.3127","1.3203","1.3072","","-0.19%"
"12/20/2010","1.3121","1.3182","1.3190","1.3095","","-0.46%"
"12/17/2010","1.3182","1.3239","1.3361","1.3133","","-0.43%"
"12/16/2010","1.3239","1.3213","1.3268","1.3180","","0.20%"
"12/15/2010","1.3213","1.3383","1.3384","1.3209","","-1.28%"
"12/14/2010","1.3384","1.3388","1.3498","1.3361","","-0.05%"
"12/13/2010","1.3391","1.3207","1.3435","1.3182","","1.19%"
"12/10/2010","1.3234","1.3237","1.3283","1.3178","","-0.08%"
"12/09/2010","1.3245","1.3264","1.3325","1.3165","","-0.11%"
"12/08/2010","1.3259","1.3263","1.3283","1.3180","","-0.04%"
"12/07/2010","1.3264","1.3304","1.3401","1.3260","","-0.32%"
"12/06/2010","1.3306","1.3382","1.3422","1.3243","","-0.81%"
"12/03/2010","1.3415","1.3222","1.3418","1.3192","","1.42%"
"12/02/2010","1.3227","1.3137","1.3250","1.3059","","0.64%"
"12/01/2010","1.3143","1.2985","1.3181","1.2970","","1.26%"
"11/30/2010","1.2980","1.3124","1.3152","1.2967","","-1.07%"
"11/29/2010","1.3121","1.3287","1.3304","1.3064","","-0.92%"
"11/26/2010","1.3243","1.3355","1.3368","1.3199","","-0.90%"
"11/25/2010","1.3363","1.3333","1.3388","1.3287","","0.23%"
"11/24/2010","1.3332","1.3367","1.3424","1.3284","","-0.31%"
"11/23/2010","1.3373","1.3619","1.3634","1.3361","","-1.86%"
"11/22/2010","1.3626","1.3714","1.3786","1.3575","","-0.45%"
"11/19/2010","1.3687","1.3647","1.3733","1.3609","","0.31%"
"11/18/2010","1.3645","1.3527","1.3668","1.3525","","0.93%"
"11/17/2010","1.3519","1.3487","1.3566","1.3458","","0.19%"
"11/16/2010","1.3493","1.3587","1.3655","1.3447","","-0.68%"
"11/15/2010","1.3586","1.3712","1.3752","1.3565","","-0.78%"
"11/12/2010","1.3693","1.3666","1.3779","1.3573","","0.26%"
"11/11/2010","1.3658","1.3784","1.3823","1.3637","","-0.91%"
"11/10/2010","1.3784","1.3777","1.3828","1.3672","","0.04%"
"11/09/2010","1.3779","1.3920","1.3975","1.3750","","-1.02%"
"11/08/2010","1.3921","1.4051","1.4085","1.3886","","-0.81%"
"11/05/2010","1.4034","1.4216","1.4250","1.4025","","-1.17%"
"11/04/2010","1.4200","1.4139","1.4284","1.4103","","0.39%"
"11/03/2010","1.4145","1.4038","1.4177","1.3991","","0.75%"
"11/02/2010","1.4040","1.3897","1.4061","1.3881","","1.07%"
"11/01/2010","1.3891","1.3963","1.4013","1.3862","","-0.42%"
"10/29/2010","1.3950","1.3927","1.3954","1.3806","","0.13%"
"10/28/2010","1.3932","1.3761","1.3946","1.3757","","1.18%"
"10/27/2010","1.3769","1.3859","1.3878","1.3733","","-0.66%"
"10/26/2010","1.3861","1.3966","1.3984","1.3825","","-0.75%"
