,year,month,price,price_goes_up,delta_price,num,month_year
2,2011,11,638.2563333333333,False,-105.4865698924732,2,11-2011
12,2012,9,868.5110000000001,False,-31.277387096774078,12,9-2012
18,2013,3,959.9954838709677,False,-50.381658986175125,18,3-2013
30,2014,3,1457.568064516129,False,-106.48122119815662,30,3-2014
32,2014,5,1460.4290322580646,False,-70.90530107526865,32,5-2014
35,2014,8,1585.312258064516,False,-53.81000000000017,35,8-2014
